timestamp,open,high,low,close,volume
2013-09-30,176.0300,200.8600,175.0500,191.1000,71214300
2013-08-30,181.7600,185.1400,172.2100,174.4200,92972300
2013-07-31,183.9000,196.0000,170.9900,177.0100,84007800
2013-06-28,178.7500,185.2300,175.6800,182.7500,62189200
2013-05-31,166.9900,184.9000,163.6000,178.1400,77751600
2013-04-30,169.7500,170.9900,161.2700,168.4600,51905700
2013-03-28,157.9300,170.9600,155.6800,169.8400,64842600
2013-02-28,159.0000,160.8800,154.1400,158.6400,61217500
2013-01-31,154.1600,162.7700,153.9300,157.9100,59355700
2012-12-31,150.0000,152.5100,146.1000,151.5800,54031200
2012-11-30,140.8200,149.9300,138.5300,149.7100,62366800
2012-10-31,134.8700,143.1000,134.8700,138.7600,57055600
2012-09-28,128.3600,136.6500,126.9500,134.2800,63213900
2012-08-31,128.5000,132.5800,125.8100,128.2500,54565800
2012-07-31,124.2600,132.3500,119.1000,129.0700,73691000
2012-06-29,113.6400,124.9500,111.9401,123.6300,73804200
2012-05-31,123.4700,125.3500,112.5000,115.2000,100344000
2012-04-30,118.0000,124.2100,116.4800,122.9800,62665100
2012-03-30,117.4500,120.6960,113.5400,118.0000,62867300
2012-02-29,101.1800,119.3600,100.6025,116.3700,89913900
2012-01-31,103.4000,104.2000,98.3300,100.6400,76346100
2011-12-30,95.9200,103.4500,95.0500,101.5300,78358900
2011-11-30,91.1600,97.0300,88.7800,96.9700,84173500
2011-10-31,84.9700,95.8700,81.7100,93.2600,104767000
2011-09-30,87.7200,94.7500,83.2500,85.7200,120505600
2011-08-31,87.0000,88.8500,76.1100,87.8800,160948700
2011-07-29,84.1000,90.8300,83.6000,85.5400,113194800
2011-06-30,80.7600,87.3600,73.1100,84.2600,196557500
2011-05-31,78.4600,81.3000,76.6000,81.0600,99881900
2011-04-29,73.9900,79.0000,73.2615,78.1200,80182500
2011-03-31,73.8700,75.9400,70.4500,73.6200,132083000
2011-02-28,70.2100,77.0800,70.2100,73.0500,114333300
2011-01-31,70.4000,73.5500,67.5100,69.8500,139509300
2010-12-31,74.9400,81.7500,66.5000,70.3800,220235300
2010-11-30,78.5800,80.4700,72.9200,73.8500,79270200
2010-10-29,74.7400,80.8800,72.5810,78.1600,102407400
2010-09-30,69.8300,74.9700,64.9000,74.2600,158973300
2010-08-31,70.9800,75.7300,68.0100,68.9800,125363400
2010-07-30,71.0000,77.8000,70.1100,73.3500,117947400
2010-06-30,72.4900,83.7900,70.0200,70.7500,197268700
2010-05-28,90.5500,91.2700,68.2900,72.4600,329707000
2010-04-30,91.6800,97.1920,90.0200,90.2300,82607100
2010-03-31,85.5000,93.6300,85.2800,91.0300,117882000
2010-02-26,82.2900,87.7600,80.5400,85.2800,99527800
2010-01-29,88.0000,88.7700,80.6100,82.0300,87018500
2009-12-31,81.4400,89.6900,78.7100,87.4600,204952500
2009-11-30,76.0900,81.9000,75.8000,81.0000,90154700
2009-10-30,68.7700,78.2000,66.5452,75.7600,159370800
2009-09-30,70.7800,74.9900,68.6100,69.1100,99051700
2009-08-31,66.1900,71.3200,65.9000,71.1000,93978700
2009-07-31,62.2800,69.6800,58.0000,65.4600,153747700
2009-06-30,68.5000,71.2400,60.2700,62.2600,193053500
2009-05-29,64.1500,68.5600,62.6400,67.7100,198672200
2009-04-30,54.7500,68.0000,53.6300,64.9600,222924500
2009-03-31,55.9300,56.9700,48.7400,55.6000,231948800
2009-02-27,48.2500,57.9500,47.5400,56.7100,186385800
2009-01-30,52.9200,57.9800,41.7800,49.3500,160611600
2008-12-31,51.0000,57.6700,47.5300,52.4500,141021400
2008-11-28,55.3500,60.4500,43.5400,52.5600,191852000
2008-10-31,60.7500,62.1100,43.7400,55.3500,302537300
2008-09-30,76.8300,77.5000,55.8900,61.3900,254818400
2008-08-29,73.3000,76.5300,69.1100,75.9000,158540800
2008-07-31,79.2000,82.4000,66.5100,73.0600,333151100
2008-06-30,86.2100,88.1000,77.6000,81.3100,255456900
2008-05-30,84.6800,89.8400,74.3600,86.3600,388428400
2008-04-30,63.0000,84.8100,60.3100,83.4500,346330900
